"id","nome","url_feed","descricao","ativo","criado_em","atualizado_em"
146,Feed Google News - PORTAL DIÁRIO DO PIAUÍ,https://news.google.com/rss/search?q=site:https://www.diario.pi.gov.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL DIÁRIO DO PIAUÍ,1,"2025-03-23 20:49:03","2025-03-23 21:31:17"
147,Feed Google News - PORTAL FALA NORDESTE / PIAUÍ,https://news.google.com/rss/search?q=site:https://www.falapiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FALA NORDESTE / PIAUÍ,1,"2025-03-23 20:49:04","2025-03-23 21:31:17"
148,Feed Google News - PORTAL É MANCHETE,https://news.google.com/rss/search?q=site:https://manchetepiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL É MANCHETE,1,"2025-03-23 20:49:06","2025-03-23 21:31:17"
149,Feed Google News - PORTAL EL PIAUÍ,https://news.google.com/rss/search?q=site:https://elpiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL EL PIAUÍ,1,"2025-03-23 20:49:07","2025-03-23 21:31:17"
150,Feed Google News - PORTAL ENCARANDO,https://news.google.com/rss/search?q=site:https://encarando.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL ENCARANDO,1,"2025-03-23 20:49:09","2025-03-23 21:31:17"
151,Feed Google News - PORTAL FATO.COM,https://news.google.com/rss/search?q=site:https://www.portalfato.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FATO.COM,1,"2025-03-23 20:49:10","2025-03-23 21:31:17"
152,Feed Google News - PORTAL GP1,https://news.google.com/rss/search?q=site:https://www.gp1.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL GP1,1,"2025-03-23 20:49:11","2025-03-23 21:31:17"
153,Feed Google News - PORTAL JOGO ABERTO,https://news.google.com/rss/search?q=site:https://www.portaljogoaberto.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL JOGO ABERTO,1,"2025-03-23 20:49:13","2025-03-23 21:31:22"
154,Feed Google News - PORTAL JORNAL DE PICOS,https://news.google.com/rss/search?q=site:http://jornaldepicos.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL JORNAL DE PICOS,1,"2025-03-23 20:49:14","2025-03-23 21:31:22"
155,Feed Google News - PORTAL JORNAL ESP,https://news.google.com/rss/search?q=site:https://jornalesp.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL JORNAL ESP,1,"2025-03-23 20:49:16","2025-03-23 21:31:22"
156,Feed Google News - PORTAL LUPA 1,https://news.google.com/rss/search?q=site:https://lupa1.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL LUPA 1,1,"2025-03-23 20:49:17","2025-03-23 21:31:22"
157,Feed Google News - PORTAL MAIS PIRIPIRI,https://news.google.com/rss/search?q=site:https://maispiripiri.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL MAIS PIRIPIRI,1,"2025-03-23 20:49:19","2025-03-23 21:31:22"
158,Feed Google News - PORTAL O PIAUÍ,https://news.google.com/rss/search?q=site:https://portalopiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL O PIAUÍ,1,"2025-03-23 20:49:20","2025-03-23 21:31:22"
159,Feed Google News - PORTAL NOVOS TEMPOS,https://news.google.com/rss/search?q=site:https://portalnovostempos.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL NOVOS TEMPOS,1,"2025-03-23 20:49:22","2025-03-23 21:31:22"
160,Feed Google News - PORTAL VI AGORA,https://news.google.com/rss/search?q=site:https://www.viagora.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL VI AGORA,1,"2025-03-23 20:49:23","2025-03-23 21:31:22"
161,Feed Google News - PORTAL PARLAMENTO PIAUÍ,https://news.google.com/rss/search?q=site:https://www.parlamentopiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PARLAMENTO PIAUÍ,1,"2025-03-23 20:49:25","2025-03-23 21:31:22"
162,Feed Google News - PORTAL PAUTA JUDICIAL,https://news.google.com/rss/search?q=site:https://www.pautajudicial.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PAUTA JUDICIAL,1,"2025-03-23 20:49:26","2025-03-23 21:31:22"
163,Feed Google News - PORTAL PENSAR PIAUÍ,https://news.google.com/rss/search?q=site:https://pensarpiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PENSAR PIAUÍ,1,"2025-03-23 20:49:28","2025-03-23 21:31:28"
164,Feed Google News - PORTAL PI 24 HORAS,https://news.google.com/rss/search?q=site:https://piaui24horas.com.br/novo/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PI 24 HORAS,1,"2025-03-23 20:49:29","2025-03-23 21:31:28"
165,Feed Google News - PORTAL PIAUÍ AGORA,https://news.google.com/rss/search?q=site:https://agorapiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ AGORA,1,"2025-03-23 20:49:31","2025-03-23 21:31:28"
166,Feed Google News - PORTAL PIAUÍ DO BEM,https://news.google.com/rss/search?q=site:https://www.piauidobem.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ DO BEM,1,"2025-03-23 20:49:32","2025-03-23 21:31:28"
167,Feed Google News - PORTAL PIAUÍ EM PAUTA,https://news.google.com/rss/search?q=site:http://piauiempauta.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ EM PAUTA,1,"2025-03-23 20:49:34","2025-03-23 21:31:28"
168,Feed Google News - PORTAL PIAUÍ HOJE,https://news.google.com/rss/search?q=site:https://piauihoje.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ HOJE,1,"2025-03-23 20:49:35","2025-03-23 21:31:28"
