id,nome,url_feed,descricao,ativo,criado_em,atualizado_em,clean_domain
185,Feed Google News - PORTAL CIDADE VERDE,https://news.google.com/rss/search?q=site:https://cidadeverde.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CIDADE VERDE,1,2025-03-23 20:50:00,2025-03-23 21:31:40,cidadeverde.com
186,Feed Google News - PORTAL O SERTÃO,https://news.google.com/rss/search?q=site:https://portalosertao.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL O SERTÃO,1,2025-03-23 20:50:02,2025-03-23 21:31:40,portalosertao.com
187,Feed Google News - PORTAL THEMOS VAGAS,https://news.google.com/rss/search?q=site:https://themosvagas.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL THEMOS VAGAS,1,2025-03-23 20:50:03,2025-03-23 21:31:40,themosvagas.com.br
188,Feed Google News - PORTAL O DIA,https://news.google.com/rss/search?q=site:https://portalodia.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL O DIA,1,2025-03-23 20:50:05,2025-03-23 21:31:40,portalodia.com
189,Feed Google News - PORTAL MUNICÍPIOS EM FOCO,https://news.google.com/rss/search?q=site:https://www.municipiosemfoco.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL MUNICÍPIOS EM FOCO,1,2025-03-23 20:50:06,2025-03-23 21:31:40,municipiosemfoco.com.br
190,Feed Google News - PORTAL NORDESTE MAIS,https://news.google.com/rss/search?q=site:https://nordestemaispi.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL NORDESTE MAIS,1,2025-03-23 20:50:08,2025-03-23 21:31:40,nordestemaispi.com.br
191,Feed Google News - PORTAL CANAL SERTÃO,https://news.google.com/rss/search?q=site:https://portalsertao.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CANAL SERTÃO,1,2025-03-23 20:50:09,2025-03-23 21:31:40,portalsertao.com
192,Feed Google News - PORTAL INTEGRAÇÃO,https://news.google.com/rss/search?q=site:https://portalintegracao.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL INTEGRAÇÃO,1,2025-03-23 20:50:11,2025-03-23 21:31:40,portalintegracao.com.br
193,Feed Google News - PORTAL RÁDIO PIONEIRA,https://news.google.com/rss/search?q=site:https://radiopioneirathe.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL RÁDIO PIONEIRA,1,2025-03-23 20:50:12,2025-03-23 21:31:46,radiopioneirathe.com
194,Feed Google News - PORTAL CLUBE NEWS | GERAL CLUBE,https://news.google.com/rss/search?q=site:https://portalclubenews.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CLUBE NEWS | GERAL CLUBE,1,2025-03-23 20:50:14,2025-03-23 21:31:46,portalclubenews.com
195,Feed Google News - PORTAL SRN,https://news.google.com/rss/search?q=site:https://portalsrn.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL SRN,1,2025-03-23 20:50:15,2025-03-23 21:31:46,portalsrn.com.br
196,Feed Google News - PORTAL FOLHA PIAUÍ,https://news.google.com/rss/search?q=site:https://folhapiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FOLHA PIAUÍ,1,2025-03-23 20:50:17,2025-03-23 21:31:46,folhapiaui.com.br
197,Feed Google News - PORTAL VERDES CAMPOS (F.LIMA),https://news.google.com/rss/search?q=site:https://portalverdescampos.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL VERDES CAMPOS (F.LIMA),1,2025-03-23 20:50:18,2025-03-23 21:31:46,portalverdescampos.com.br
198,Feed Google News - PORTAL PIAUÍ NA MÍDIA,https://news.google.com/rss/search?q=site:https://www.piauinamidia.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ NA MÍDIA,1,2025-03-23 20:50:20,2025-03-23 21:31:46,piauinamidia.com.br
199,Feed Google News - PORTAL APL (ACADEMIA PIAUIENSE DE LETRAS),https://news.google.com/rss/search?q=site:https://www.academiapiauiensedeletras.org.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL APL (ACADEMIA PIAUIENSE DE LETRAS),1,2025-03-23 20:50:21,2025-03-23 21:31:46,academiapiauiensedeletras.org.br
